word	vol_lv	count
CHEESE: PROCESSED BULK	4	3253
EGGS - MEDIUM	4	3663
ROLLS: SANDWICH	3	1451
MEAT:HAM BULK	4	6680
SFT DRNK 3 LITER BTL CARB (EXC	3	425
YOGURT MULTI-PACKS	4	7649
PASTA: CANNED	4	10706
MEAT: LUNCHMEAT BULK	4	3946
LEAN	4	8738
ENTREES	4	3794
PIZZA/ECONOMY	4	7068
DAIRY CASE TEA WITH SUGAR OR S	3	1933
CHIX:FRD 8PC/CUT UP (HOT)	3	1272
AEROSOL TOPPINGS	3	1157
NOVELTY CANDY	3	514
ECONOMY	4	4155
TOASTER PASTRIES	4	7160
REFRIGERATED BISCUITS REGULAR	4	6559
MOLASSES & SYRUPS	4	3661
ISOTONIC DRINKS SINGLE SERVE	4	7654
BABY DIAPERS	4	4348
BABY JUICES	3	1616
PLASTIC TRASH BAGS	3	1299
CRANAPPLE CRAN GRAPE JUICE (5	3	1713
PUDDING&GELATIN CUPS/CANS	4	3882
APPLES RED DELICIOUS (BULK&BAG	3	2814
ASEPTIC PACK JUICE AND DRINKS	4	8552
VEGETABLES ALL OTHER	3	2019
AIR CARE - SANITIZERS	2	300
DAIRY CASE JUICE DRNK UNDER 10	4	5580
HARD SQUASH	3	547
SEASONAL CANDY BAGS-CHOCOLATE	4	4107
CRANBERRY JUICE (50% AND UNDER	3	1523
PEPPERS ALL OTHER	3	1065
SFT DRNK SNGL SRV BTL CARB (EX	4	10072
CUT VEGETABLES ALL OTHER	3	1258
CHOICE BEEF	4	10210
HAM- NET WEIGHT	3	716
CRANAPPLE CRAN GRAPE JUICE (O	2	261
GARLIC WHOLE CLOVES	3	1620
PIZZA	3	445
ROMA TOMATOES (BULK/PKG)	3	2123
VAC PAC NUTS(CANS)	3	2704
CORNMEAL	3	585
DRY BEANS/PEAS/BARLEY: BAG & B	3	1575
PEPPERS SERRANO	3	453
TOMATOES HOTHOUSE ON THE VINE	4	4260
SS ECONOMY ENTREES/DINNERS ALL	4	18134
DRY DOG FOOD PREMIUM (ALPO/PUR	3	1538
FREEZER BAGS	3	1658
GRND/PATTY - FROZEN	3	2587
LIQUID SOAP	3	1871
GADGETS/TOOLS	3	1921
SANDWICHES/BISCUITS/GRAVY	3	993
AIR CARE - AEROSOLS	3	1394
COLD AND FLU - DXM	3	1192
CLEANSING WIPES	3	686
ICE CREAM TOPPINGS	3	1219
CORN OIL	2	154
COOKING SPRAYS	3	1689
CHOCOLATE MILK	4	8136
FACIAL TISSUE & PAPER HANDKE	4	5084
FROSTING	4	3602
BAR SOAP	3	2786
PET TREATS	2	293
PAPER AND FOAM DRINKING CUPS	3	740
MUFFIN & CORN BREAD MIX	4	3781
PEPPERS GREEN BELL	4	5343
EGG NOG/BOILED CUSTARD	3	656
BAGELS	4	3983
BITS & MORSELS	3	2331
FRUIT/BREAKFAST BREAD	3	904
BREAD:PITA/POCKET BREADS	3	421
COOKIES: REGULAR	4	3231
GARDEN PLUS	4	4009
BBQ SAUCE	4	4525
APPLE JUICE & CIDER (OVER 50%	3	2929
BABY FOOD - BEGINNER	4	10870
VITAMIN - CHILDREN	3	346
MISC MEAT SAUCES	3	1583
RIBS	3	1966
MEAT: SAUS DRY BULK	3	2996
MACARONI & CHEESE DNRS	4	8600
CANDY BAGS-NON CHOCOLATE	4	4247
INFANT FORMULA SOY BASE	3	467
AIR CARE - CONTINUOUS - NON EL	3	656
FURNITURE	3	562
POTATOES GOLD (BULK&BAG)	3	548
ASPARAGUS	3	1945
CONVENTIONAL LITTER	3	1243
NEWSPAPER	4	4599
SPONGES: BATH HOUSEHOLD	3	1228
KITCHEN & MULTI-PURPOSE CLEANE	3	638
MAYBELLINE	3	1145
TOAST/GRIDDLES	1	17
ANT AND ROACH	3	331
AIR CARE - DISINFECTANT SPRAYS	2	268
FOOT CARE - SHOE INSOLE/PADS	2	181
INSIDE FROST BULBS	3	1668
BACON - BELLY/JOWL	2	309
FRUIT COCKTAIL FRUIT SALAD	3	1729
HAMS-WHOLE BONELESS	3	438
MISCELLANEOUS VEGETABLES	3	1139
SV BEV: N/CARB FLV FRK/MINWTR	2	132
SGL SV/VEND MACH SNACKS CHIP/P	4	7967
VENDOR SIZE/SINGLE SERVE COOKI	3	1012
